GU,GUKey,UnitID,Area,AreainDelft,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,MedModelValBest,visit
Pool,Po,50,3.170000301,3.170000301,1,1,2.029991709,1.12,16.51073227,26.98000355,1175
Pool,Po,51,2.880000273,2.880000281,1,1,0.960006167,0.32,-0.756409523,29.14317612,1175
Pool,Po,52,1.740000166,1.740000156,1,1,1.629996559,1.219970166,35.4380923,42.24916001,1175
Pool,Po,53,1.860000177,1.860000177,2,1,2.059980781,0.799994939,20.67578593,30.65278812,1175
Pool,Po,54,16.46000156,16.46000156,6,6,15.12988612,11.62989961,30.56710895,34.72211525,1175
Pool,Po,55,2.1000002,2.100000206,1,1,2.100000206,1.439984423,25.78727,27.5524797,1175
Pool,Po,56,9.260000879,9.26000088,5,5,9.119946628,8.369885508,36.07269429,37.84207799,1175
Pool,Po,57,1.58000015,1.580000151,1,1,1.580000151,1.549987087,41.71073082,41.8065097,1175
Pool,Po,58,8.930000849,7.609898764,0,NA,0,NA,-36.38200138,NA,1175
Pool,Po,59,3.150000299,3.150000295,3,3,3.089960472,2.829965574,46.06457561,48.66670245,1175
Pool,Po,60,8.950000849,8.950000849,3,3,8.859917207,7.879923763,32.09813386,33.75843351,1175
Rapid,Ra,62,53.41000508,44.3100267,2,2,2.570026977,0.480007041,-22.11466351,21.67309838,1175
Rapid,Ra,63,9.170000869,7.690049757,0,0,0.880018049,0.210025896,-26.24395874,23.99399145,1175
