"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","mod","Pool","area.sum",334.295,297.501672615619,258.16,52.35,936.99,12
"AF","mod","Pool","n",11.0833333333333,5.5833898685514,9.5,5,24,12
"AF","mod","Pool","perim.area.ratio",1.26933333333333,0.401341462718431,1.198,0.668,2.006,12
"AF","mod","Pool","perim.mean",31.9143333333333,16.8198686911604,25.9855,15,67.06,12
"AF","mod","Pool","perim.med",25.2583333333333,13.108876821267,20.7,14.2,57.8,12
"AF","mod","Pool","perim.sd",21.5984166666667,20.5162917589383,15.2475,5.113,74.249,12
"AF","mod","Pool","perim.sum",345.083333333333,233.454258059391,257,105,859.2,12
"AF","mod","Rapid","area.mean",60.94625,33.2080897209801,49.6075,35.39,109.18,4
"AF","mod","Rapid","area.med",60.94625,33.2080897209801,49.6075,35.39,109.18,4
"AF","mod","Rapid","area.ratio",0.02125,0.009322910847298,0.0175,0.015,0.035,4
"AF","mod","Rapid","area.sd",26.5415,10.5549829227716,26.5415,19.078,34.005,2
"AF","mod","Rapid","area.sum",85.75,35.2799726001405,98.215,35.39,111.18,4
"AF","mod","Rapid","n",1.5,0.577350269189626,1.5,1,2,4
"AF","mod","Rapid","perim.area.ratio",1.08425,0.421281675366969,0.945,0.763,1.684,4
"AF","mod","Rapid","perim.mean",60.475,23.0120801609358,59.5,33.3,89.6,4
"AF","mod","Rapid","perim.med",60.475,23.0120801609358,59.5,33.3,89.6,4
"AF","mod","Rapid","perim.sd",19.587,3.900401005025,19.587,16.829,22.345,2
"AF","mod","Rapid","perim.sum",83.65,26.7084880390735,78.1,59.6,118.8,4
"AF","mod","Riffle","area.mean",73.5354,47.4997508372412,69.91,21.295,151.47,10
"AF","mod","Riffle","area.med",63.7285,51.2496191882871,52.995,14.83,151.47,10
"AF","mod","Riffle","area.ratio",0.0368,0.0266658333203121,0.039,0.003,0.088,10
"AF","mod","Riffle","area.sd",71.7043333333333,49.3827093815909,71.3265,20.058,154.328,6
"AF","mod","Riffle","area.sum",205.503,181.257570143827,110.725,23.95,521.08,10
"AF","mod","Riffle","n",2.9,2.07899548393502,2.5,1,7,10
"AF","mod","Riffle","perim.area.ratio",0.9574,0.353518567797758,0.8505,0.611,1.777,10
"AF","mod","Riffle","perim.mean",60.5147,32.3607694389021,48.5285,27.64,117.9,10
"AF","mod","Riffle","perim.med",52.69,32.2950443394786,42.6,21.4,117.9,10
"AF","mod","Riffle","perim.sd",41.8028333333333,26.298700693507,30.3195,16.034,76.675,6
"AF","mod","Riffle","perim.sum",163.0199,116.855671493086,144.8,29.8,354.6,10
"AF","mod","Transition","area.mean",151.75425,108.848020350416,132.899,32.696,342.088,12
"AF","mod","Transition","area.med",95.2639166666667,94.917800336979,63.555,12.84,281.519,12
"AF","mod","Transition","area.ratio",0.181083333333333,0.0851346082104776,0.1485,0.087,0.296,12
"AF","mod","Transition","area.sd",156.437727272727,121.707420128019,109.302,29.48,339.157,11
"AF","mod","Transition","area.sum",795.683666666667,367.557545540666,742.2565,281.519,1455.47,12
"AF","mod","Transition","n",8,5.52679423766206,7,1,22,12
"AF","mod","Transition","perim.area.ratio",2.29166666666667,0.764266057116634,2.1435,1.23,3.42,12
"AF","mod","Transition","perim.mean",297.305833333333,202.156757662703,257.734,107.663,791.691,12
"AF","mod","Transition","perim.med",222.439916666667,203.987285634739,182.8995,37.001,791.691,12
"AF","mod","Transition","perim.sd",238.755727272727,180.326891357385,166.416,32.45,558.418,11
"AF","mod","Transition","perim.sum",1617.4095,443.608647238347,1676.9995,791.691,2368.593,12
"AF","poor","Bank","area.mean",133.910333333333,123.668253432556,78.2555,5.206,360.705,18
"AF","poor","Bank","area.med",116.490333333333,146.602303561871,39.09,3.4,448.161,18
